"Line Number","Keyword","Frequency"
"3413","renewable energy",4
"3421","research influence",4
"3560","sandra faber",4
"3592","scholarship benefit dinner",4
"3688","shakespeare",4
"3707","share",4
"3750","Sloan Fellow",4
"3778","social documentation program",4
"3781","social justice",4
"3785","social psychology",4
"3815","southern sea otter",4
"3826","spencer fellow",4
"3857","STARS",4
"3916","strategic",4
"3963","super-Earth",4
"3980","Susan Strome",4
"3989","sustainable",4
"4076","thank you",4
"4102","theater arts department",4
"4135","Tim Tinker",4
"4140","Times Higher Education",4
"4201","Tyrus Miller",4
"4203","UARC",4
"4208","UCO",4
"4209","UCO/Lick",4
"4212","ucop our university",4
"4221","undergraduate education",4
"4292","video games",4
"4297","violence",4
"4327","water",4
"4365","white-nose syndrome",4
"4429","Xavier Prochaska",4
"73","A Cappella Records",3
"92","Abe Seiden",3
"93","Abraham Seiden",3
"115","access",3
"128","adaptive optics",3
"130","administration",3
"183","allan chadwick",3
"193","Alumni Weekend",3
"273","APS Fellow",3
"312","Art Levinson",3
"315","Art Ramirez",3
"354","astrophysics",3
"361","ATLAS",3
"370","authors",3
"402","bats",3
"443","Beth Shapiro",3
"454","big data",3
"471","biodiversity",3
"486","black holes",3
"599","Cal Teach",3
"602","California Academy of Sciences",3
"628","california shakespeare festivals",3
"634","Camilla Forsberg",3
"643","campus elections",3
"646","cancer",3
"651","cancer research",3
"653","CANDELS",3
"683","cary fukunaga",3
"700","CBSE",3
"711","Center for Agroecology and Sustainable Food Systems",3
"725","Center for Research in Storage Systems",3
"766","Chemical Screening Center",3
"778","china",3
"787","chocolate festival",3
"796","chris darimont",3
"799","Chris Wilmers",3
"853","Coastal Biology building",3
"857","Coastal Science Campus",3
"862","Colleen Reichmuth",3
"904","computer game design program",3
"906","computer gaming",3
"910","computer science",3
"931","Constantine Panunzio Distinguished Emeriti Award",3
"953","cosmology",3
"954","cougar",3
"960","coursera",3
"961","cowell",3
"984","critical race and ethnic studies",3
"1014","Dan Costa",3
"1025","dance",3
"1031","Daniel Fabrycky",3
"1035","daniel press",3
"1068","David Koo",3
"1080","day of action",3
"1124","Dickens Project",3
"1141","digital humanities",3
"1147","dining services",3
"1154","disposition day RIMS",3
"1163","Diversity",3
"1172","documentary",3
"1195","Doug Erickson",3
"1241","ecology and evolutionary biology",3
"1288","Elkhorn Slough",3
"1292","elliot aronson",3
"1410","extinction",3
"1430","fairlie",3
"1432","fall",3
"1433","fall 2011",3
"1467","Fermi Gamma-ray Space Telescope",3
"1495","financial aid",3
"1526","forensic",3
"1570","Friends of Long Marine Lab",3
"1590","gabe zimmerman",3
"1593","gabriel zimmerman",3
"1599","galaxy evolution",3
"1601","galaxy mergers",3
"1618","Games and Playable Media",3
"1631","gary young",3
"1652","Genome 10K",3
"1659","genome sequencing",3
"1671","george hitchcock",3
"1744","governor",3
"1750","graduate student research",3
"1754","graduation",3
"1770","grateful dead news",3
"1772","gratitude",3
"1774","great earthquakes",3
"1835","Halliday Lecture",3
"1842","harassment",3
"1854","Harry Noller",3
"1857","harvest festival",3
"1866","hay barn",3
"1903","Higgs boson",3
"1920","history of art and visual culture",3
"1932","holiday party",3
"1949","honduras",3
"1950","Honduras",3
"1993","Humanities Division",3
"2017","Ian Garrick-Bethell",3
"2030","immigration",3
"2040","india",3
"2041","India",3
"2056","innovation",3
"2073","institute of the arts and sciences",3
"2086","interim",3
"2100","investigation",3
"2107","IODP",3
"2121","Irwin Scholars",3
"2139","J. J. Garcia-Luna-Aceves",3
"2161","James Gill",3
"2180","Jason Nielsen",3
"2186","Jean Langenheim",3
"2217","jewish studies program",3
"2218","Jewish studies program",3
"2226","Jim Kent",3
"2230","Jim Whitehead",3
"2256","John Thompson",3
"2297","Karen Ottemann",3
"2299","karen washington",3
"2320","Kavli Prize",3
"2345","Kepler mission",3
"2348","kerr",3
"2350","Kevin Beggs",3
"2391","language program",3
"2401","laser talks",3
"2404","latin american and latino studies",3
"2405","latin American and latino studies",3
"2431","lee",3
"2448","LHC",3
"2459","life lab",3
"2467","linguistics",3
"2482","literature department",3
"2497","Long Marine Lab",3
"2513","lunar farside highlands",3
"2523","M31",3
"2529","Mad Men",3
"2553","march 1",3
"2580","Mark Akeson",3
"2581","Mark Carr",3
"2584","Mark Krumholz",3
"2634","mchenry",3
"2649","medical robotics",3
"2683","message",3
